COVERAGE SUMMARY,,Aligned bases,419199690860
COVERAGE SUMMARY,,Aligned bases in genome,419199690860,100.00
COVERAGE SUMMARY,,Average alignment coverage over genome,138.04
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,93.85
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.4*mean) over genome,93.06
COVERAGE SUMMARY,,PCT of genome with coverage [1500x: inf),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [1000x: inf),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x: inf),0.03
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: inf),86.91
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: inf),93.35
COVERAGE SUMMARY,,PCT of genome with coverage [  20x: inf),94.05
COVERAGE SUMMARY,,PCT of genome with coverage [  15x: inf),94.20
COVERAGE SUMMARY,,PCT of genome with coverage [  10x: inf),94.39
COVERAGE SUMMARY,,PCT of genome with coverage [   3x: inf),94.87
COVERAGE SUMMARY,,PCT of genome with coverage [   1x: inf),95.29
COVERAGE SUMMARY,,PCT of genome with coverage [   0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [1000x:1500x),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x:1000x),0.02
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: 500x),86.88
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: 100x),6.44
COVERAGE SUMMARY,,PCT of genome with coverage [  20x:  50x),0.70
COVERAGE SUMMARY,,PCT of genome with coverage [  15x:  20x),0.15
COVERAGE SUMMARY,,PCT of genome with coverage [  10x:  15x),0.19
COVERAGE SUMMARY,,PCT of genome with coverage [   3x:  10x),0.48
COVERAGE SUMMARY,,PCT of genome with coverage [   1x:   3x),0.42
COVERAGE SUMMARY,,PCT of genome with coverage [   0x:   1x),4.71
COVERAGE SUMMARY,,Average chr X coverage over genome,72.39
COVERAGE SUMMARY,,Average chr Y coverage over genome,55.89
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,15069.85
COVERAGE SUMMARY,,Average autosomal coverage over genome,147.47
COVERAGE SUMMARY,,Median autosomal coverage over genome,153.00
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,0.96
COVERAGE SUMMARY,,Aligned reads,3124006186
COVERAGE SUMMARY,,Aligned reads in genome,3124006186,100.00
