PCT of bases in wgs with coverage [1500x:inf), 0.01
PCT of bases in wgs with coverage [1000x:1500x), 0.01
PCT of bases in wgs with coverage [500x:1000x), 0.02
PCT of bases in wgs with coverage [100x:500x), 86.88
PCT of bases in wgs with coverage [50x:100x), 6.44
PCT of bases in wgs with coverage [20x:50x), 0.70
PCT of bases in wgs with coverage [15x:20x), 0.15
PCT of bases in wgs with coverage [10x:15x), 0.19
PCT of bases in wgs with coverage [3x:10x), 0.48
PCT of bases in wgs with coverage [1x:3x), 0.42
PCT of bases in wgs with coverage [0x:1x), 4.71
