CNV SUMMARY,,Bases in reference genome,3217356871
CNV SUMMARY,,Average alignment coverage over genome,38.94
CNV SUMMARY,,Number of alignment records,1009682926
CNV SUMMARY,,Number of filtered records (total),155090925,15.36
CNV SUMMARY,,Number of filtered records (duplicates),91984310,9.11
CNV SUMMARY,,Number of filtered records (MAPQ),50611020,5.01
CNV SUMMARY,,Number of filtered records (unmapped),23987763,2.38
CNV SUMMARY,,Number of target intervals,2430271
CNV SUMMARY,,Number of segments,637
CNV SUMMARY,,Number of amplifications,55
CNV SUMMARY,,Number of deletions,106
CNV SUMMARY,,Number of passing amplifications,0,0.00
CNV SUMMARY,,Number of passing deletions,0,0.00
CNV SUMMARY,,Estimated tumor purity,NA
CNV SUMMARY,,Diploid coverage,152.00
CNV SUMMARY,,Overall ploidy,1.94
