COVERAGE SUMMARY,,Aligned bases,104248330221
COVERAGE SUMMARY,,Aligned bases in genome,104248330221,100.00
COVERAGE SUMMARY,,Average alignment coverage over genome,34.35
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,93.88
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.4*mean) over genome,92.50
COVERAGE SUMMARY,,PCT of genome with coverage [1500x: inf),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [1000x: inf),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x: inf),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: inf),0.06
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: inf),6.02
COVERAGE SUMMARY,,PCT of genome with coverage [  20x: inf),89.26
COVERAGE SUMMARY,,PCT of genome with coverage [  15x: inf),92.09
COVERAGE SUMMARY,,PCT of genome with coverage [  10x: inf),93.52
COVERAGE SUMMARY,,PCT of genome with coverage [   3x: inf),94.36
COVERAGE SUMMARY,,PCT of genome with coverage [   1x: inf),94.86
COVERAGE SUMMARY,,PCT of genome with coverage [   0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [1000x:1500x),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x:1000x),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: 500x),0.05
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: 100x),5.96
COVERAGE SUMMARY,,PCT of genome with coverage [  20x:  50x),83.25
COVERAGE SUMMARY,,PCT of genome with coverage [  15x:  20x),2.83
COVERAGE SUMMARY,,PCT of genome with coverage [  10x:  15x),1.43
COVERAGE SUMMARY,,PCT of genome with coverage [   3x:  10x),0.84
COVERAGE SUMMARY,,PCT of genome with coverage [   1x:   3x),0.50
COVERAGE SUMMARY,,PCT of genome with coverage [   0x:   1x),5.14
COVERAGE SUMMARY,,Average chr X coverage over genome,17.93
COVERAGE SUMMARY,,Average chr Y coverage over genome,13.89
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,4282.32
COVERAGE SUMMARY,,Average autosomal coverage over genome,36.69
COVERAGE SUMMARY,,Median autosomal coverage over genome,38.00
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,0.97
COVERAGE SUMMARY,,Aligned reads,798220907
COVERAGE SUMMARY,,Aligned reads in genome,798220907,100.00
