COVERAGE SUMMARY,,Aligned bases,111184512480
COVERAGE SUMMARY,,Aligned bases in genome,111184512480,100.00
COVERAGE SUMMARY,,Average alignment coverage over genome,36.64
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,93.84
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.4*mean) over genome,92.53
COVERAGE SUMMARY,,PCT of genome with coverage [1500x: inf),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [1000x: inf),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x: inf),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: inf),0.07
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: inf),10.90
COVERAGE SUMMARY,,PCT of genome with coverage [  20x: inf),90.10
COVERAGE SUMMARY,,PCT of genome with coverage [  15x: inf),92.53
COVERAGE SUMMARY,,PCT of genome with coverage [  10x: inf),93.63
COVERAGE SUMMARY,,PCT of genome with coverage [   3x: inf),94.40
COVERAGE SUMMARY,,PCT of genome with coverage [   1x: inf),94.89
COVERAGE SUMMARY,,PCT of genome with coverage [   0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [1000x:1500x),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x:1000x),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: 500x),0.06
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: 100x),10.84
COVERAGE SUMMARY,,PCT of genome with coverage [  20x:  50x),79.20
COVERAGE SUMMARY,,PCT of genome with coverage [  15x:  20x),2.43
COVERAGE SUMMARY,,PCT of genome with coverage [  10x:  15x),1.10
COVERAGE SUMMARY,,PCT of genome with coverage [   3x:  10x),0.77
COVERAGE SUMMARY,,PCT of genome with coverage [   1x:   3x),0.50
COVERAGE SUMMARY,,PCT of genome with coverage [   0x:   1x),5.11
COVERAGE SUMMARY,,Average chr X coverage over genome,19.14
COVERAGE SUMMARY,,Average chr Y coverage over genome,14.87
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,4438.11
COVERAGE SUMMARY,,Average autosomal coverage over genome,39.13
COVERAGE SUMMARY,,Median autosomal coverage over genome,41.00
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,0.95
COVERAGE SUMMARY,,Aligned reads,854625980
COVERAGE SUMMARY,,Aligned reads in genome,854625980,100.00
