Depth,Overall
0,155899704
1,9523309
2,5723452
3,4368166
4,3666574
5,3308878
6,3149052
7,3226749
8,3554512
9,4221702
10,5266600
11,6718471
12,8473117
13,10432540
14,12461684
15,14363940
16,16027293
17,17401829
18,18496101
19,19497973
20,20663188
21,22341724
22,24861624
23,28547630
24,33679882
25,40297665
26,48468455
27,58024201
28,68673161
29,80059118
30,91664544
31,102911635
32,113405838
33,122598301
34,129939150
35,135201577
36,138214306
37,138729945
38,136936828
39,132994845
40,127041932
41,119566187
42,110776432
43,101152689
44,91016731
45,80768046
46,70701344
47,61055259
48,52074681
49,43837025
50,36459134
51,29953270
52,24326875
53,19540188
54,15530618
55,12216733
56,9515568
57,7353397
58,5636636
59,4292891
60,3243568
61,2452246
62,1848271
63,1395062
64,1058174
65,814177
66,633307
67,499750
68,404435
69,333450
70,283277
71,243224
72,216864
73,195263
74,179675
75,165132
76,154131
77,144473
78,134853
79,126519
80,119906
81,114762
82,107860
83,103327
84,98030
85,92460
86,87526
87,83743
88,79372
89,74620
90,70497
91,67204
92,63200
93,60604
94,57362
95,54618
96,52276
97,49489
98,46843
99,44570
100,43149
101,41032
102,38814
103,38364
104,37173
105,35867
106,34832
107,33851
108,32534
109,31993
110,31043
111,29963
112,29302
113,28342
114,27258
115,26233
116,25599
117,24651
118,24144
119,23055
120,22659
121,21589
122,21703
123,20584
124,19684
125,19541
126,18420
127,17877
128,17778
129,16826
130,16226
131,15616
132,14783
133,14475
134,14268
135,13159
136,12598
137,11936
138,11547
139,10975
140,10691
141,10082
142,10174
143,9318
144,8929
145,8495
146,7897
147,7623
148,7190
149,6986
150,6899
151,6617
152,6422
153,6084
154,5874
155,5536
156,5480
157,5261
158,5459
159,5002
160,4966
161,4924
162,4632
163,4598
164,4813
165,4332
166,4584
167,4530
168,4247
169,4218
170,4114
171,4093
172,4119
173,4023
174,3921
175,3639
176,3780
177,3965
178,3773
179,3707
180,3468
181,3500
182,3469
183,3559
184,3344
185,3479
186,3333
187,3038
188,3086
189,3285
190,3195
191,3019
192,2980
193,2956
194,2695
195,2688
196,2727
197,2696
198,2805
199,2555
200,2713
201,2752
202,2604
203,2538
204,2583
205,2595
206,2526
207,2473
208,2556
209,2553
210,2349
211,2443
212,2486
213,2372
214,2364
215,2381
216,2308
217,2254
218,2130
219,2138
220,2039
221,2088
222,2170
223,2010
224,1923
225,1874
226,1757
227,1743
228,1731
229,1873
230,1851
231,1702
232,1860
233,1857
234,1870
235,1874
236,1931
237,1826
238,1695
239,1704
240,1665
241,1691
242,1719
243,1732
244,1613
245,1674
246,1740
247,1644
248,1731
249,1722
250,1737
251,1729
252,1648
253,1556
254,1590
255,1595
256,1692
257,1511
258,1456
259,1510
260,1400
261,1366
262,1457
263,1507
264,1407
265,1393
266,1391
267,1404
268,1390
269,1286
270,1413
271,1386
272,1329
273,1383
274,1354
275,1357
276,1246
277,1286
278,1254
279,1271
280,1252
281,1262
282,1249
283,1285
284,1164
285,1198
286,1216
287,1176
288,1098
289,1218
290,1165
291,1124
292,1097
293,1012
294,1041
295,1066
296,1066
297,1074
298,1011
299,987
300,987
301,951
302,925
303,871
304,896
305,905
306,932
307,941
308,870
309,916
310,884
311,900
312,943
313,851
314,864
315,854
316,836
317,843
318,803
319,788
320,807
321,805
322,858
323,918
324,792
325,792
326,810
327,748
328,787
329,728
330,692
331,736
332,730
333,695
334,678
335,689
336,685
337,635
338,645
339,702
340,728
341,698
342,816
343,620
344,647
345,660
346,685
347,740
348,740
349,671
350,626
351,595
352,612
353,647
354,619
355,633
356,566
357,536
358,600
359,550
360,535
361,599
362,514
363,590
364,544
