Depth,Overall
0,154919426
1,9473118
2,5668072
3,4300505
4,3582452
5,3161215
6,2959098
7,2895709
8,3043069
9,3398177
10,4060739
11,5057954
12,6392652
13,8037074
14,9853124
15,11717563
16,13488332
17,15014001
18,16251796
19,17154625
20,17909070
21,18672723
22,19707078
23,21294434
24,23723248
25,27251834
26,32069623
27,38226461
28,45816930
29,54568688
30,64325751
31,74701172
32,85464930
33,95990048
34,105883529
35,114791246
36,122204318
37,127894178
38,131599014
39,133192109
40,132637391
41,130114153
42,125757960
43,119752689
44,112341009
45,104016997
46,94959062
47,85547447
48,76100557
49,66769501
50,57875862
51,49565944
52,41984316
53,35116748
54,29069656
55,23784297
56,19263863
57,15433500
58,12261122
59,9639569
60,7507571
61,5815000
62,4463727
63,3420904
64,2607337
65,1982426
66,1508669
67,1152763
68,886788
69,690862
70,547978
71,443806
72,366261
73,308257
74,263432
75,229913
76,204865
77,188129
78,173394
79,161484
80,151037
81,141984
82,134645
83,129114
84,122908
85,116658
86,111331
87,104838
88,99690
89,94130
90,88397
91,86147
92,81347
93,76590
94,73124
95,69235
96,65268
97,62670
98,59708
99,56433
100,53839
101,50845
102,49285
103,46422
104,45146
105,43415
106,41323
107,40041
108,38707
109,37390
110,35230
111,34822
112,33731
113,31533
114,31062
115,30392
116,29445
117,28177
118,27234
119,27036
120,26418
121,26389
122,25763
123,24407
124,23449
125,23327
126,22711
127,21563
128,21606
129,20990
130,20843
131,20093
132,19289
133,18475
134,17716
135,16693
136,15787
137,15496
138,15154
139,14495
140,14266
141,13513
142,13164
143,12577
144,12446
145,11903
146,11877
147,11360
148,10489
149,10060
150,9726
151,9500
152,8990
153,8440
154,8157
155,7950
156,7573
157,7294
158,6891
159,6667
160,6597
161,6248
162,6169
163,5962
164,5611
165,5495
166,5451
167,5140
168,5038
169,5105
170,5036
171,4836
172,4806
173,4500
174,4526
175,4106
176,4223
177,4127
178,4004
179,4050
180,4087
181,3986
182,4130
183,4097
184,3676
185,3859
186,3819
187,3515
188,3397
189,3450
190,3248
191,3378
192,3175
193,3133
194,3123
195,3135
196,3019
197,2952
198,3055
199,2853
200,3104
201,2910
202,2746
203,2743
204,2665
205,2778
206,2820
207,2618
208,2619
209,2626
210,2611
211,2515
212,2463
213,2446
214,2520
215,2430
216,2395
217,2345
218,2239
219,2328
220,2207
221,2182
222,2191
223,2186
224,2165
225,2203
226,1866
227,1954
228,1936
229,1914
230,1915
231,1924
232,1958
233,1966
234,1911
235,1916
236,1880
237,1969
238,1837
239,1771
240,1762
241,1833
242,1842
243,1753
244,1871
245,1660
246,1623
247,1661
248,1725
249,1642
250,1670
251,1700
252,1638
253,1645
254,1571
255,1589
256,1626
257,1581
258,1574
259,1631
260,1514
261,1482
262,1602
263,1529
264,1478
265,1470
266,1417
267,1488
268,1497
269,1508
270,1466
271,1418
272,1464
273,1376
274,1475
275,1596
276,1387
277,1428
278,1393
279,1477
280,1468
281,1500
282,1488
283,1399
284,1434
285,1319
286,1347
287,1328
288,1270
289,1205
290,1303
291,1313
292,1195
293,1368
294,1293
295,1267
296,1299
297,1232
298,1336
299,1250
300,1169
301,1258
302,1213
303,1052
304,1171
305,1187
306,1065
307,1131
308,1038
309,1006
310,1036
311,974
312,892
313,956
314,904
315,989
316,982
317,959
318,1015
319,942
320,949
321,901
322,916
323,907
324,915
325,916
326,907
327,938
328,1023
329,900
330,918
331,850
332,861
333,779
334,804
335,770
336,779
337,793
338,745
339,786
340,774
341,787
342,764
343,810
344,717
345,737
346,761
347,729
348,692
349,599
350,656
351,649
352,645
353,633
354,638
355,627
356,625
357,670
358,615
359,631
360,674
361,630
362,625
363,628
364,611
365,647
366,575
367,597
368,631
369,579
370,685
371,640
372,555
373,540
374,542
375,546
376,554
377,577
378,596
379,546
380,522
381,507
382,550
383,552
384,542
385,547
386,571
387,517
388,559
389,520
390,573
391,511
392,503
393,489
394,506
395,508
396,454
397,458
398,506
399,495
400,495
401,493
402,468
403,527
404,520
405,531
406,488
407,480
408,491
409,482
410,483
411,496
412,477
413,520
414,559
415,549
416,531
417,460
418,503
419,464
420,497
421,416
422,460
423,466
424,480
425,500
426,474
427,458
428,392
429,445
430,459
431,481
432,432
433,462
434,422
435,397
436,423
437,463
438,444
439,424
440,434
441,409
442,379
443,398
444,395
445,439
446,407
447,446
448,429
449,431
450,361
451,415
452,414
453,387
454,426
455,386
456,368
457,363
458,380
459,350
460,368
461,366
462,382
463,384
464,385
465,371
466,393
467,364
468,395
469,374
470,399
471,370
472,348
473,368
474,366
475,376
476,403
477,364
478,371
479,390
480,370
481,356
482,367
483,327
484,368
485,338
486,402
487,372
488,421
489,334
490,351
491,343
492,347
493,305
494,338
495,340
496,311
497,325
498,291
499,313
500,270
501,257
502,314
503,289
504,266
505,262
506,261
507,256
508,276
509,301
510,294
511,254
512,273
513,283
514,288
515,361
516,279
517,323
518,273
519,320
520,293
521,303
522,252
523,321
524,312
525,315
526,339
527,349
528,308
529,319
530,305
531,277
532,282
533,313
534,301
535,287
536,320
537,293
538,307
539,349
540,320
541,319
542,303
543,314
544,321
545,299
546,313
547,274
548,286
549,321
