chrom	pos	n_donors	max_indel_reads	max_indel_fraction	blacklisted
chr1	103308	0	0	0.0	0
chr1	279874	0	0	0.0	0
chr1	365389	0	0	0.0	0
chr1	366821	0	0	0.0	0
chr1	373364	0	0	0.0	0
chr1	413778	0	0	0.0	0
chr1	594453	0	0	0.0	0
chr1	595885	0	0	0.0	0
chr1	601618	0	0	0.0	0
chr1	649532	0	0	0.0	0
chr1	848899	0	0	0.0	0
chr1	898143	0	0	0.0	0
chr1	901114	0	0	0.0	0
chr1	940905	0	0	0.0	0
chr1	982176	0	0	0.0	0
chr1	1081568	0	0	0.0	0
chr1	1118101	0	0	0.0	0
chr1	1133182	0	0	0.0	0
chr1	1138327	0	0	0.0	0
chr1	1158007	0	0	0.0	0
chr1	1169042	0	0	0.0	0
chr1	1173567	0	0	0.0	0
chr1	1180356	0	0	0.0	0
chr1	1214551	0	0	0.0	0
chr1	1253653	0	0	0.0	0
chr1	1310716	0	0	0.0	0
chr1	1321991	0	0	0.0	0
chr1	1341686	0	0	0.0	0
chr1	1353065	0	0	0.0	0
chr1	1355013	0	0	0.0	0
chr1	1383004	0	0	0.0	0
chr1	1518734	0	0	0.0	0
chr1	1578442	0	0	0.0	0
chr1	1583794	0	0	0.0	0
chr1	1666487	0	0	0.0	0
chr1	1835793	0	0	0.0	0
chr1	1936660	0	0	0.0	0
chr1	1939622	0	0	0.0	0
chr1	2043206	0	0	0.0	0
chr1	2055577	0	0	0.0	0
chr1	2064862	0	0	0.0	0
chr1	2146248	0	0	0.0	0
chr1	2164675	0	0	0.0	0
chr1	2196493	0	0	0.0	0
chr1	2309499	0	0	0.0	0
chr1	2340878	0	0	0.0	0
chr1	2409949	0	0	0.0	0
chr1	2412874	0	0	0.0	0
chr1	2434447	0	0	0.0	0
chr1	2452001	0	0	0.0	0
chr1	2474558	0	0	0.0	0
chr1	2518522	0	0	0.0	0
chr1	2542420	0	0	0.0	0
chr1	2784138	0	0	0.0	0
chr1	2814186	0	0	0.0	0
chr1	2846978	0	0	0.0	0
chr1	2920558	0	0	0.0	0
chr1	2949494	0	0	0.0	0
chr1	2972378	0	0	0.0	0
chr1	3018872	0	0	0.0	0
chr1	3023538	0	0	0.0	0
chr1	3029566	0	0	0.0	0
chr1	3058730	0	0	0.0	0
chr1	3062056	0	0	0.0	0
chr1	3092435	0	0	0.0	0
chr1	3145026	0	0	0.0	0
chr1	3163530	0	0	0.0	0
chr1	3219105	0	0	0.0	0
chr1	3290139	0	0	0.0	0
chr1	3317493	0	0	0.0	0
chr1	3356092	0	0	0.0	0
chr1	3362209	0	0	0.0	0
chr1	3430009	0	1	0.0147	0
chr1	3509156	0	0	0.0	0
chr1	3540822	0	0	0.0	0
chr1	3756540	0	0	0.0	0
chr1	3771632	0	1	0.0127	0
chr1	3787898	0	0	0.0	0
chr1	3851180	0	0	0.0	0
chr1	3891171	0	0	0.0	0
chr1	3892914	0	0	0.0	0
chr1	3997101	0	0	0.0	0
chr1	4150807	0	0	0.0	0
chr1	4266171	0	0	0.0	0
chr1	4297994	0	0	0.0	0
chr1	4348241	0	0	0.0	0
chr1	4537961	0	0	0.0	0
chr1	4541228	0	0	0.0	0
chr1	4647144	0	0	0.0	0
chr1	4664631	0	0	0.0	0
chr1	4740710	0	0	0.0	0
chr1	4771068	0	0	0.0	0
chr1	4789856	0	0	0.0	0
chr1	4826732	0	0	0.0	0
chr1	4879066	0	0	0.0	0
chr1	4940835	0	0	0.0	0
chr1	4951317	0	0	0.0	0
chr1	4967322	0	0	0.0	0
chr1	4978878	0	0	0.0	0
chr1	5113410	0	0	0.0	0
chr1	5254171	0	0	0.0	0
chr1	5273191	0	0	0.0	0
chr1	5294639	0	0	0.0	0
chr1	5325449	0	0	0.0	0
chr1	5332602	0	0	0.0	0
chr1	5350032	0	0	0.0	0
chr1	5506869	0	0	0.0	0
chr1	5528139	0	0	0.0	0
chr1	5567057	0	0	0.0	0
chr1	5593667	0	0	0.0	0
chr1	5648848	0	0	0.0	0
chr1	5685438	0	0	0.0	0
chr1	5862742	0	0	0.0	0
chr1	5880118	0	0	0.0	0
chr1	5943539	0	0	0.0	0
chr1	5954062	0	0	0.0	0
chr1	5969081	0	0	0.0	0
chr1	6016285	0	0	0.0	0
chr1	6127095	0	0	0.0	0
chr1	6167022	0	0	0.0	0
chr1	6212975	0	0	0.0	0
chr1	6254992	0	0	0.0	0
chr1	6257436	0	1	0.0132	0
chr1	6350522	0	0	0.0	0
chr1	6501599	0	0	0.0	0
chr1	6557887	0	0	0.0	0
chr1	6578402	0	0	0.0	0
chr1	6624137	0	0	0.0	0
chr1	6625537	0	0	0.0	0
chr1	6695852	0	0	0.0	0
chr1	7314362	0	1	0.0167	0
chr1	7330146	0	0	0.0	0
chr1	7425801	0	0	0.0	0
chr1	7434574	0	0	0.0	0
chr1	7520594	0	0	0.0	0
chr1	7584270	0	0	0.0	0
chr1	7590582	0	0	0.0	0
chr1	7868790	0	0	0.0	0
chr1	7875510	0	0	0.0	0
chr1	7884734	0	0	0.0	0
chr1	7955828	0	0	0.0	0
chr1	7982248	0	0	0.0	0
chr1	8070830	0	1	0.0118	0
chr1	8077852	0	0	0.0	0
chr1	8166851	0	0	0.0	0
chr1	8350125	0	0	0.0	0
chr1	8374384	1	3	0.0349	1
chr1	8432298	0	0	0.0	0
chr1	8531328	0	0	0.0	0
chr1	8572725	0	0	0.0	0
chr1	8708144	0	0	0.0	0
chr1	8737493	0	0	0.0	0
chr1	8789726	0	0	0.0	0
chr1	8898147	0	0	0.0	0
chr1	9166670	0	0	0.0	0
chr1	9327979	0	0	0.0	0
chr1	9372333	0	0	0.0	0
chr1	9382613	0	0	0.0	0
chr1	9449173	0	0	0.0	0
chr1	9511056	0	0	0.0	0
chr1	9602041	0	0	0.0	0
chr1	9642848	0	0	0.0	0
chr1	9908467	0	0	0.0	0
chr1	9920357	0	0	0.0	0
chr1	9946134	0	0	0.0	0
chr1	10067651	0	0	0.0	0
chr1	10068720	0	0	0.0	0
chr1	10312358	0	0	0.0	0
chr1	10533827	0	0	0.0	0
chr1	10561172	0	0	0.0	0
chr1	10646439	0	0	0.0	0
chr1	10660543	0	0	0.0	0
chr1	10739543	0	0	0.0	0
chr1	10782119	0	0	0.0	0
chr1	10834960	0	0	0.0	0
chr1	10990499	0	0	0.0	0
chr1	11074040	0	0	0.0	0
chr1	11145113	0	0	0.0	0
chr1	11205911	0	1	0.0256	0
chr1	11236400	0	0	0.0	0
chr1	11395425	0	0	0.0	0
chr1	11427349	0	0	0.0	0
chr1	11469804	0	0	0.0	0
chr1	11473603	0	0	0.0	0
chr1	11560197	0	0	0.0	0
chr1	11572813	0	0	0.0	0
chr1	11583936	0	0	0.0	0
chr1	11628616	0	0	0.0	0
chr1	11646671	0	0	0.0	0
chr1	11721879	0	0	0.0	0
chr1	11810492	0	0	0.0	0
chr1	11869191	0	0	0.0	0
chr1	11877975	0	0	0.0	0
chr1	11907015	0	0	0.0	0
chr1	11950440	0	0	0.0	0
chr1	11958030	0	0	0.0	0
chr1	11979010	0	0	0.0	0
chr1	12071930	0	0	0.0	0
chr1	12109961	0	0	0.0	0
chr1	12203502	0	0	0.0	0
chr1	12221582	0	0	0.0	0
chr1	12316870	0	0	0.0	0
chr1	12429735	0	1	0.0217	0
chr1	12477835	0	0	0.0	0
chr1	12630601	0	0	0.0	0
chr1	12722840	0	0	0.0	0
chr1	12837222	0	0	0.0	0
chr1	13120810	0	1	0.013	0
chr1	13374846	0	0	0.0	0
chr1	13512629	0	0	0.0	0
chr1	13612092	0	0	0.0	0
chr1	13745319	0	0	0.0	0
chr1	13811580	0	0	0.0	0
chr1	13915697	0	0	0.0	0
chr1	13962120	0	0	0.0	0
chr1	13981849	0	0	0.0	0
chr1	14043092	0	0	0.0	0
chr1	14094167	0	1	0.0278	0
chr1	14160012	0	0	0.0	0
chr1	14182245	0	0	0.0	0
chr1	14373385	0	0	0.0	0
chr1	14449121	0	0	0.0	0
chr1	14492510	0	0	0.0	0
chr1	14713517	0	0	0.0	0
chr1	14737954	0	0	0.0	0
